,Time 0,Time 1,Time 2,Time 3,Time 4,Time 5,Predict
29,13.75152,13.73606,13.72123,13.70702,13.6934,13.68036,13.63383
30,13.73606,13.72123,13.70702,13.6934,13.68036,13.6679,13.62355
31,13.72123,13.70702,13.6934,13.68036,13.6679,13.656,13.61379
32,13.70702,13.6934,13.68036,13.6679,13.656,13.64464,13.60456
33,13.6934,13.68036,13.6679,13.656,13.64464,13.63383,13.59584
34,13.68036,13.6679,13.656,13.64464,13.63383,13.62355,13.58764
35,13.6679,13.656,13.64464,13.63383,13.62355,13.61379,13.57996
36,13.656,13.64464,13.63383,13.62355,13.61379,13.60456,13.57278
37,13.64464,13.63383,13.62355,13.61379,13.60456,13.59584,13.56612
38,13.63383,13.62355,13.61379,13.60456,13.59584,13.58764,13.55998
39,13.62355,13.61379,13.60456,13.59584,13.58764,13.57996,13.55435
40,13.61379,13.60456,13.59584,13.58764,13.57996,13.57278,13.54925
41,13.60456,13.59584,13.58764,13.57996,13.57278,13.56612,13.54467
42,13.59584,13.58764,13.57996,13.57278,13.56612,13.55998,13.54062
43,13.58764,13.57996,13.57278,13.56612,13.55998,13.55435,13.5371
44,13.57996,13.57278,13.56612,13.55998,13.55435,13.54925,13.53412
45,13.57278,13.56612,13.55998,13.55435,13.54925,13.54467,13.53168
46,13.56612,13.55998,13.55435,13.54925,13.54467,13.54062,13.5298
47,13.55998,13.55435,13.54925,13.54467,13.54062,13.5371,13.52846
48,13.55435,13.54925,13.54467,13.54062,13.5371,13.53412,13.52768
49,13.54925,13.54467,13.54062,13.5371,13.53412,13.53168,13.52747
50,13.54467,13.54062,13.5371,13.53412,13.53168,13.5298,13.52782
51,13.54062,13.5371,13.53412,13.53168,13.5298,13.52846,13.52874
52,13.5371,13.53412,13.53168,13.5298,13.52846,13.52768,13.53025
53,13.53412,13.53168,13.5298,13.52846,13.52768,13.52747,13.53233
54,13.53168,13.5298,13.52846,13.52768,13.52747,13.52782,13.535
55,13.5298,13.52846,13.52768,13.52747,13.52782,13.52874,13.53826
56,13.52846,13.52768,13.52747,13.52782,13.52874,13.53025,13.54212
57,13.52768,13.52747,13.52782,13.52874,13.53025,13.53233,13.54657
58,13.52747,13.52782,13.52874,13.53025,13.53233,13.535,13.55163
59,13.52782,13.52874,13.53025,13.53233,13.535,13.53826,13.55729
60,13.52874,13.53025,13.53233,13.535,13.53826,13.54212,13.56356
61,13.53025,13.53233,13.535,13.53826,13.54212,13.54657,13.57044
62,13.53233,13.535,13.53826,13.54212,13.54657,13.55163,13.57793
63,13.535,13.53826,13.54212,13.54657,13.55163,13.55729,13.58604
64,13.53826,13.54212,13.54657,13.55163,13.55729,13.56356,13.59477
65,13.54212,13.54657,13.55163,13.55729,13.56356,13.57044,13.60411
66,13.54657,13.55163,13.55729,13.56356,13.57044,13.57793,13.61408
67,13.55163,13.55729,13.56356,13.57044,13.57793,13.58604,13.62467
68,13.55729,13.56356,13.57044,13.57793,13.58604,13.59477,13.63588
69,13.56356,13.57044,13.57793,13.58604,13.59477,13.60411,13.64771
70,13.57044,13.57793,13.58604,13.59477,13.60411,13.61408,13.66017
71,13.57793,13.58604,13.59477,13.60411,13.61408,13.62467,13.67325
72,13.58604,13.59477,13.60411,13.61408,13.62467,13.63588,13.68696
73,13.59477,13.60411,13.61408,13.62467,13.63588,13.64771,13.70129
74,13.60411,13.61408,13.62467,13.63588,13.64771,13.66017,13.71624
75,13.61408,13.62467,13.63588,13.64771,13.66017,13.67325,13.73182
76,13.62467,13.63588,13.64771,13.66017,13.67325,13.68696,13.74801
77,13.63588,13.64771,13.66017,13.67325,13.68696,13.70129,13.76483
78,13.64771,13.66017,13.67325,13.68696,13.70129,13.71624,13.78227
79,13.66017,13.67325,13.68696,13.70129,13.71624,13.73182,13.80033
80,13.67325,13.68696,13.70129,13.71624,13.73182,13.74801,13.819
81,13.68696,13.70129,13.71624,13.73182,13.74801,13.76483,13.83828
82,13.70129,13.71624,13.73182,13.74801,13.76483,13.78227,13.85818
83,13.71624,13.73182,13.74801,13.76483,13.78227,13.80033,13.87868
84,13.73182,13.74801,13.76483,13.78227,13.80033,13.819,13.89979
85,13.74801,13.76483,13.78227,13.80033,13.819,13.83828,13.92151
86,13.76483,13.78227,13.80033,13.819,13.83828,13.85818,13.94382
87,13.78227,13.80033,13.819,13.83828,13.85818,13.87868,13.96673
88,13.80033,13.819,13.83828,13.85818,13.87868,13.89979,13.99024
89,13.819,13.83828,13.85818,13.87868,13.89979,13.92151,14.01433
90,13.83828,13.85818,13.87868,13.89979,13.92151,13.94382,14.03901
91,13.85818,13.87868,13.89979,13.92151,13.94382,13.96673,14.06427
92,13.87868,13.89979,13.92151,13.94382,13.96673,13.99024,14.09011
93,13.89979,13.92151,13.94382,13.96673,13.99024,14.01433,14.11653
94,13.92151,13.94382,13.96673,13.99024,14.01433,14.03901,14.14351
95,13.94382,13.96673,13.99024,14.01433,14.03901,14.06427,14.17106
96,13.96673,13.99024,14.01433,14.03901,14.06427,14.09011,14.19916
97,13.99024,14.01433,14.03901,14.06427,14.09011,14.11653,14.22782
98,14.01433,14.03901,14.06427,14.09011,14.11653,14.14351,14.25703
99,14.03901,14.06427,14.09011,14.11653,14.14351,14.17106,14.28678
100,14.06427,14.09011,14.11653,14.14351,14.17106,14.19916,14.31707
101,14.09011,14.11653,14.14351,14.17106,14.19916,14.22782,14.34789
102,14.11653,14.14351,14.17106,14.19916,14.22782,14.25703,14.37924
103,14.14351,14.17106,14.19916,14.22782,14.25703,14.28678,14.41111
104,14.17106,14.19916,14.22782,14.25703,14.28678,14.31707,14.44349
105,14.19916,14.22782,14.25703,14.28678,14.31707,14.34789,14.47638
106,14.22782,14.25703,14.28678,14.31707,14.34789,14.37924,14.50977
107,14.25703,14.28678,14.31707,14.34789,14.37924,14.41111,14.54365
108,14.28678,14.31707,14.34789,14.37924,14.41111,14.44349,14.57802
109,14.31707,14.34789,14.37924,14.41111,14.44349,14.47638,14.61287
110,14.34789,14.37924,14.41111,14.44349,14.47638,14.50977,14.64819
111,14.37924,14.41111,14.44349,14.47638,14.50977,14.54365,14.68398
112,14.41111,14.44349,14.47638,14.50977,14.54365,14.57802,14.72022
113,14.44349,14.47638,14.50977,14.54365,14.57802,14.61287,14.75692
114,14.47638,14.50977,14.54365,14.57802,14.61287,14.64819,14.79406
115,14.50977,14.54365,14.57802,14.61287,14.64819,14.68398,14.83163
116,14.54365,14.57802,14.61287,14.64819,14.68398,14.72022,14.86963
117,14.57802,14.61287,14.64819,14.68398,14.72022,14.75692,14.90804
118,14.61287,14.64819,14.68398,14.72022,14.75692,14.79406,14.94687
119,14.64819,14.68398,14.72022,14.75692,14.79406,14.83163,14.98609
120,14.68398,14.72022,14.75692,14.79406,14.83163,14.86963,15.02571
121,14.72022,14.75692,14.79406,14.83163,14.86963,14.90804,15.06571
122,14.75692,14.79406,14.83163,14.86963,14.90804,14.94687,15.10609
123,14.79406,14.83163,14.86963,14.90804,14.94687,14.98609,15.14683
124,14.83163,14.86963,14.90804,14.94687,14.98609,15.02571,15.18793
125,14.86963,14.90804,14.94687,14.98609,15.02571,15.06571,15.22938
126,14.90804,14.94687,14.98609,15.02571,15.06571,15.10609,15.27116
127,14.94687,14.98609,15.02571,15.06571,15.10609,15.14683,15.31327
128,14.98609,15.02571,15.06571,15.10609,15.14683,15.18793,15.3557
129,15.02571,15.06571,15.10609,15.14683,15.18793,15.22938,15.39843
130,15.06571,15.10609,15.14683,15.18793,15.22938,15.27116,15.44147
131,15.10609,15.14683,15.18793,15.22938,15.27116,15.31327,15.48479
132,15.14683,15.18793,15.22938,15.27116,15.31327,15.3557,15.52839
133,15.18793,15.22938,15.27116,15.31327,15.3557,15.39843,15.57226
134,15.22938,15.27116,15.31327,15.3557,15.39843,15.44147,15.61638
135,15.27116,15.31327,15.3557,15.39843,15.44147,15.48479,15.66076
136,15.31327,15.3557,15.39843,15.44147,15.48479,15.52839,15.70536
137,15.3557,15.39843,15.44147,15.48479,15.52839,15.57226,15.75019
138,15.39843,15.44147,15.48479,15.52839,15.57226,15.61638,15.79524
139,15.44147,15.48479,15.52839,15.57226,15.61638,15.66076,15.84049
140,15.48479,15.52839,15.57226,15.61638,15.66076,15.70536,15.88593
141,15.52839,15.57226,15.61638,15.66076,15.70536,15.75019,15.93155
142,15.57226,15.61638,15.66076,15.70536,15.75019,15.79524,15.97734
143,15.61638,15.66076,15.70536,15.75019,15.79524,15.84049,16.02329
144,15.66076,15.70536,15.75019,15.79524,15.84049,15.88593,16.06939
145,15.70536,15.75019,15.79524,15.84049,15.88593,15.93155,16.11562
146,15.75019,15.79524,15.84049,15.88593,15.93155,15.97734,16.16198
147,15.79524,15.84049,15.88593,15.93155,15.97734,16.02329,16.20844
148,15.84049,15.88593,15.93155,15.97734,16.02329,16.06939,16.25501
149,15.88593,15.93155,15.97734,16.02329,16.06939,16.11562,16.30166
150,15.93155,15.97734,16.02329,16.06939,16.11562,16.16198,16.34839
151,15.97734,16.02329,16.06939,16.11562,16.16198,16.20844,16.39519
152,16.02329,16.06939,16.11562,16.16198,16.20844,16.25501,16.44203
153,16.06939,16.11562,16.16198,16.20844,16.25501,16.30166,16.48892
154,16.11562,16.16198,16.20844,16.25501,16.30166,16.34839,16.53583
155,16.16198,16.20844,16.25501,16.30166,16.34839,16.39519,16.58276
156,16.20844,16.25501,16.30166,16.34839,16.39519,16.44203,16.62969
157,16.25501,16.30166,16.34839,16.39519,16.44203,16.48892,16.67661
158,16.30166,16.34839,16.39519,16.44203,16.48892,16.53583,16.72351
159,16.34839,16.39519,16.44203,16.48892,16.53583,16.58276,16.77038
160,16.39519,16.44203,16.48892,16.53583,16.58276,16.62969,16.8172
161,16.44203,16.48892,16.53583,16.58276,16.62969,16.67661,16.86396
162,16.48892,16.53583,16.58276,16.62969,16.67661,16.72351,16.91065
163,16.53583,16.58276,16.62969,16.67661,16.72351,16.77038,16.95725
164,16.58276,16.62969,16.67661,16.72351,16.77038,16.8172,17.00375
165,16.62969,16.67661,16.72351,16.77038,16.8172,16.86396,17.05015
166,16.67661,16.72351,16.77038,16.8172,16.86396,16.91065,17.09642
167,16.72351,16.77038,16.8172,16.86396,16.91065,16.95725,17.14256
168,16.77038,16.8172,16.86396,16.91065,16.95725,17.00375,17.18854
169,16.8172,16.86396,16.91065,16.95725,17.00375,17.05015,17.23437
170,16.86396,16.91065,16.95725,17.00375,17.05015,17.09642,17.28002
171,16.91065,16.95725,17.00375,17.05015,17.09642,17.14256,17.32548
172,16.95725,17.00375,17.05015,17.09642,17.14256,17.18854,17.37074
173,17.00375,17.05015,17.09642,17.14256,17.18854,17.23437,17.41579
174,17.05015,17.09642,17.14256,17.18854,17.23437,17.28002,17.46061
175,17.09642,17.14256,17.18854,17.23437,17.28002,17.32548,17.50518
176,17.14256,17.18854,17.23437,17.28002,17.32548,17.37074,17.54951
177,17.18854,17.23437,17.28002,17.32548,17.37074,17.41579,17.59356
178,17.23437,17.28002,17.32548,17.37074,17.41579,17.46061,17.63734
179,17.28002,17.32548,17.37074,17.41579,17.46061,17.50518,17.68082
180,17.32548,17.37074,17.41579,17.46061,17.50518,17.54951,17.72399
181,17.37074,17.41579,17.46061,17.50518,17.54951,17.59356,17.76683
182,17.41579,17.46061,17.50518,17.54951,17.59356,17.63734,17.80934
183,17.46061,17.50518,17.54951,17.59356,17.63734,17.68082,17.8515
184,17.50518,17.54951,17.59356,17.63734,17.68082,17.72399,17.89329
185,17.54951,17.59356,17.63734,17.68082,17.72399,17.76683,17.93471
186,17.59356,17.63734,17.68082,17.72399,17.76683,17.80934,17.97573
187,17.63734,17.68082,17.72399,17.76683,17.80934,17.8515,18.01634
188,17.68082,17.72399,17.76683,17.80934,17.8515,17.89329,18.05652
189,17.72399,17.76683,17.80934,17.8515,17.89329,17.93471,18.09626
190,17.76683,17.80934,17.8515,17.89329,17.93471,17.97573,18.13555
191,17.80934,17.8515,17.89329,17.93471,17.97573,18.01634,18.17437
192,17.8515,17.89329,17.93471,17.97573,18.01634,18.05652,18.2127
193,17.89329,17.93471,17.97573,18.01634,18.05652,18.09626,18.25052
194,17.93471,17.97573,18.01634,18.05652,18.09626,18.13555,18.28782
195,17.97573,18.01634,18.05652,18.09626,18.13555,18.17437,18.32459
196,18.01634,18.05652,18.09626,18.13555,18.17437,18.2127,18.3608
197,18.05652,18.09626,18.13555,18.17437,18.2127,18.25052,18.39643
198,18.09626,18.13555,18.17437,18.2127,18.25052,18.28782,18.43148
199,18.13555,18.17437,18.2127,18.25052,18.28782,18.32459,18.46591
200,18.17437,18.2127,18.25052,18.28782,18.32459,18.3608,18.49972
201,18.2127,18.25052,18.28782,18.32459,18.3608,18.39643,18.53287
202,18.25052,18.28782,18.32459,18.3608,18.39643,18.43148,18.56536
203,18.28782,18.32459,18.3608,18.39643,18.43148,18.46591,18.59716
204,18.32459,18.3608,18.39643,18.43148,18.46591,18.49972,18.62825
205,18.3608,18.39643,18.43148,18.46591,18.49972,18.53287,18.65861
206,18.39643,18.43148,18.46591,18.49972,18.53287,18.56536,18.68822
207,18.43148,18.46591,18.49972,18.53287,18.56536,18.59716,18.71706
208,14.13226,14.10241,14.07297,14.04396,14.01538,13.98723,13.87893
209,14.10241,14.07297,14.04396,14.01538,13.98723,13.9595,13.85295
210,14.07297,14.04396,14.01538,13.98723,13.9595,13.93221,13.82741
211,14.04396,14.01538,13.98723,13.9595,13.93221,13.90536,13.8023
212,14.01538,13.98723,13.9595,13.93221,13.90536,13.87893,13.77763
213,13.98723,13.9595,13.93221,13.90536,13.87893,13.85295,13.75341
214,13.9595,13.93221,13.90536,13.87893,13.85295,13.82741,13.72964
215,13.93221,13.90536,13.87893,13.85295,13.82741,13.8023,13.70631
216,13.90536,13.87893,13.85295,13.82741,13.8023,13.77763,13.68343
217,13.87893,13.85295,13.82741,13.8023,13.77763,13.75341,13.66101
218,13.85295,13.82741,13.8023,13.77763,13.75341,13.72964,13.63905
219,13.82741,13.8023,13.77763,13.75341,13.72964,13.70631,13.61756
220,13.8023,13.77763,13.75341,13.72964,13.70631,13.68343,13.59654
221,13.77763,13.75341,13.72964,13.70631,13.68343,13.66101,13.57599
222,13.75341,13.72964,13.70631,13.68343,13.66101,13.63905,13.55592
223,13.72964,13.70631,13.68343,13.66101,13.63905,13.61756,13.53635
224,13.70631,13.68343,13.66101,13.63905,13.61756,13.59654,13.51728
225,13.68343,13.66101,13.63905,13.61756,13.59654,13.57599,13.4987
226,13.66101,13.63905,13.61756,13.59654,13.57599,13.55592,13.48065
227,13.63905,13.61756,13.59654,13.57599,13.55592,13.53635,13.46311
228,13.61756,13.59654,13.57599,13.55592,13.53635,13.51728,13.4461
229,13.59654,13.57599,13.55592,13.53635,13.51728,13.4987,13.42963
230,13.57599,13.55592,13.53635,13.51728,13.4987,13.48065,13.4137
231,13.55592,13.53635,13.51728,13.4987,13.48065,13.46311,13.39833
232,13.53635,13.51728,13.4987,13.48065,13.46311,13.4461,13.38352
233,13.51728,13.4987,13.48065,13.46311,13.4461,13.42963,13.36927
234,13.4987,13.48065,13.46311,13.4461,13.42963,13.4137,13.35561
235,13.48065,13.46311,13.4461,13.42963,13.4137,13.39833,13.34252
236,13.46311,13.4461,13.42963,13.4137,13.39833,13.38352,13.33003
237,13.4461,13.42963,13.4137,13.39833,13.38352,13.36927,13.31814
238,13.42963,13.4137,13.39833,13.38352,13.36927,13.35561,13.30685
239,13.4137,13.39833,13.38352,13.36927,13.35561,13.34252,13.29618
240,13.39833,13.38352,13.36927,13.35561,13.34252,13.33003,13.28612
241,13.38352,13.36927,13.35561,13.34252,13.33003,13.31814,13.27668
242,13.36927,13.35561,13.34252,13.33003,13.31814,13.30685,13.26788
243,13.35561,13.34252,13.33003,13.31814,13.30685,13.29618,13.2597
244,13.34252,13.33003,13.31814,13.30685,13.29618,13.28612,13.25217
245,13.33003,13.31814,13.30685,13.29618,13.28612,13.27668,13.24528
246,13.31814,13.30685,13.29618,13.28612,13.27668,13.26788,13.23904
247,13.30685,13.29618,13.28612,13.27668,13.26788,13.2597,13.23345
248,13.29618,13.28612,13.27668,13.26788,13.2597,13.25217,13.22851
249,13.28612,13.27668,13.26788,13.2597,13.25217,13.24528,13.22423
250,13.27668,13.26788,13.2597,13.25217,13.24528,13.23904,13.22062
251,13.26788,13.2597,13.25217,13.24528,13.23904,13.23345,13.21766
252,13.2597,13.25217,13.24528,13.23904,13.23345,13.22851,13.21538
253,13.25217,13.24528,13.23904,13.23345,13.22851,13.22423,13.21376
254,13.24528,13.23904,13.23345,13.22851,13.22423,13.22062,13.21281
255,13.23904,13.23345,13.22851,13.22423,13.22062,13.21766,13.21253
256,13.23345,13.22851,13.22423,13.22062,13.21766,13.21538,13.21293
257,13.22851,13.22423,13.22062,13.21766,13.21538,13.21376,13.214
258,13.22423,13.22062,13.21766,13.21538,13.21376,13.21281,13.21574
259,13.22062,13.21766,13.21538,13.21376,13.21281,13.21253,13.21816
260,13.21766,13.21538,13.21376,13.21281,13.21253,13.21293,13.22125
261,13.21538,13.21376,13.21281,13.21253,13.21293,13.214,13.22502
262,13.21376,13.21281,13.21253,13.21293,13.214,13.21574,13.22946
263,13.21281,13.21253,13.21293,13.214,13.21574,13.21816,13.23458
264,13.21253,13.21293,13.214,13.21574,13.21816,13.22125,13.24037
265,13.21293,13.214,13.21574,13.21816,13.22125,13.22502,13.24683
266,13.214,13.21574,13.21816,13.22125,13.22502,13.22946,13.25397
267,13.21574,13.21816,13.22125,13.22502,13.22946,13.23458,13.26177
268,13.21816,13.22125,13.22502,13.22946,13.23458,13.24037,13.27025
269,13.22125,13.22502,13.22946,13.23458,13.24037,13.24683,13.27939
270,13.22502,13.22946,13.23458,13.24037,13.24683,13.25397,13.28919
271,13.22946,13.23458,13.24037,13.24683,13.25397,13.26177,13.29966
272,13.23458,13.24037,13.24683,13.25397,13.26177,13.27025,13.31079
273,13.24037,13.24683,13.25397,13.26177,13.27025,13.27939,13.32257
274,13.24683,13.25397,13.26177,13.27025,13.27939,13.28919,13.33502
275,13.25397,13.26177,13.27025,13.27939,13.28919,13.29966,13.34811
276,13.26177,13.27025,13.27939,13.28919,13.29966,13.31079,13.36185
277,13.27025,13.27939,13.28919,13.29966,13.31079,13.32257,13.37624
278,13.27939,13.28919,13.29966,13.31079,13.32257,13.33502,13.39126
279,13.28919,13.29966,13.31079,13.32257,13.33502,13.34811,13.40693
280,13.29966,13.31079,13.32257,13.33502,13.34811,13.36185,13.42323
281,13.31079,13.32257,13.33502,13.34811,13.36185,13.37624,13.44016
282,13.32257,13.33502,13.34811,13.36185,13.37624,13.39126,13.45772
283,13.33502,13.34811,13.36185,13.37624,13.39126,13.40693,13.4759
284,13.34811,13.36185,13.37624,13.39126,13.40693,13.42323,13.4947
285,13.36185,13.37624,13.39126,13.40693,13.42323,13.44016,13.51411
286,13.37624,13.39126,13.40693,13.42323,13.44016,13.45772,13.53412
287,13.39126,13.40693,13.42323,13.44016,13.45772,13.4759,13.55474
288,13.40693,13.42323,13.44016,13.45772,13.4759,13.4947,13.57596
289,13.42323,13.44016,13.45772,13.4759,13.4947,13.51411,13.59777
290,13.44016,13.45772,13.4759,13.4947,13.51411,13.53412,13.62017
291,13.45772,13.4759,13.4947,13.51411,13.53412,13.55474,13.64315
292,13.4759,13.4947,13.51411,13.53412,13.55474,13.57596,13.6667
293,13.4947,13.51411,13.53412,13.55474,13.57596,13.59777,13.69082
294,13.51411,13.53412,13.55474,13.57596,13.59777,13.62017,13.7155
295,13.53412,13.55474,13.57596,13.59777,13.62017,13.64315,13.74074
296,13.55474,13.57596,13.59777,13.62017,13.64315,13.6667,13.76653
297,13.57596,13.59777,13.62017,13.64315,13.6667,13.69082,13.79287
298,13.59777,13.62017,13.64315,13.6667,13.69082,13.7155,13.81974
299,13.62017,13.64315,13.6667,13.69082,13.7155,13.74074,13.84714
300,13.64315,13.6667,13.69082,13.7155,13.74074,13.76653,13.87506
301,13.6667,13.69082,13.7155,13.74074,13.76653,13.79287,13.9035
302,13.69082,13.7155,13.74074,13.76653,13.79287,13.81974,13.93244
303,13.7155,13.74074,13.76653,13.79287,13.81974,13.84714,13.96188
304,13.74074,13.76653,13.79287,13.81974,13.84714,13.87506,13.99182
305,13.76653,13.79287,13.81974,13.84714,13.87506,13.9035,14.02224
306,13.79287,13.81974,13.84714,13.87506,13.9035,13.93244,14.05314
307,13.81974,13.84714,13.87506,13.9035,13.93244,13.96188,14.0845
308,13.84714,13.87506,13.9035,13.93244,13.96188,13.99182,14.11633
309,13.87506,13.9035,13.93244,13.96188,13.99182,14.02224,14.1486
310,13.9035,13.93244,13.96188,13.99182,14.02224,14.05314,14.18132
311,13.93244,13.96188,13.99182,14.02224,14.05314,14.0845,14.21447
312,13.96188,13.99182,14.02224,14.05314,14.0845,14.11633,14.24805
313,13.99182,14.02224,14.05314,14.0845,14.11633,14.1486,14.28204
314,14.02224,14.05314,14.0845,14.11633,14.1486,14.18132,14.31643
315,14.05314,14.0845,14.11633,14.1486,14.18132,14.21447,14.35122
316,14.0845,14.11633,14.1486,14.18132,14.21447,14.24805,14.3864
317,14.11633,14.1486,14.18132,14.21447,14.24805,14.28204,14.42195
318,14.1486,14.18132,14.21447,14.24805,14.28204,14.31643,14.45788
319,14.18132,14.21447,14.24805,14.28204,14.31643,14.35122,14.49415
320,14.21447,14.24805,14.28204,14.31643,14.35122,14.3864,14.53078
321,14.24805,14.28204,14.31643,14.35122,14.3864,14.42195,14.56773
322,14.28204,14.31643,14.35122,14.3864,14.42195,14.45788,14.60502
323,14.31643,14.35122,14.3864,14.42195,14.45788,14.49415,14.64262
324,14.35122,14.3864,14.42195,14.45788,14.49415,14.53078,14.68052
325,14.3864,14.42195,14.45788,14.49415,14.53078,14.56773,14.71871
326,14.42195,14.45788,14.49415,14.53078,14.56773,14.60502,14.75718
327,14.45788,14.49415,14.53078,14.56773,14.60502,14.64262,14.79592
328,14.49415,14.53078,14.56773,14.60502,14.64262,14.68052,14.83492
329,14.53078,14.56773,14.60502,14.64262,14.68052,14.71871,14.87417
330,14.56773,14.60502,14.64262,14.68052,14.71871,14.75718,14.91365
331,14.60502,14.64262,14.68052,14.71871,14.75718,14.79592,14.95335
332,14.64262,14.68052,14.71871,14.75718,14.79592,14.83492,14.99326
333,14.68052,14.71871,14.75718,14.79592,14.83492,14.87417,15.03336
334,14.71871,14.75718,14.79592,14.83492,14.87417,14.91365,15.07365
335,14.75718,14.79592,14.83492,14.87417,14.91365,14.95335,15.11411
336,14.79592,14.83492,14.87417,14.91365,14.95335,14.99326,15.15473
337,14.83492,14.87417,14.91365,14.95335,14.99326,15.03336,15.19549
338,14.87417,14.91365,14.95335,14.99326,15.03336,15.07365,15.23639
339,14.91365,14.95335,14.99326,15.03336,15.07365,15.11411,15.2774
340,14.95335,14.99326,15.03336,15.07365,15.11411,15.15473,15.31852
341,14.99326,15.03336,15.07365,15.11411,15.15473,15.19549,15.35972
342,15.03336,15.07365,15.11411,15.15473,15.19549,15.23639,15.40101
343,15.07365,15.11411,15.15473,15.19549,15.23639,15.2774,15.44235
344,15.11411,15.15473,15.19549,15.23639,15.2774,15.31852,15.48374
345,15.15473,15.19549,15.23639,15.2774,15.31852,15.35972,15.52517
346,15.19549,15.23639,15.2774,15.31852,15.35972,15.40101,15.56661
347,15.23639,15.2774,15.31852,15.35972,15.40101,15.44235,15.60805
348,15.2774,15.31852,15.35972,15.40101,15.44235,15.48374,15.64949
349,15.31852,15.35972,15.40101,15.44235,15.48374,15.52517,15.69089
350,15.35972,15.40101,15.44235,15.48374,15.52517,15.56661,15.73225
351,15.40101,15.44235,15.48374,15.52517,15.56661,15.60805,15.77356
352,15.44235,15.48374,15.52517,15.56661,15.60805,15.64949,15.81478
353,15.48374,15.52517,15.56661,15.60805,15.64949,15.69089,15.85592
354,15.52517,15.56661,15.60805,15.64949,15.69089,15.73225,15.89695
355,15.56661,15.60805,15.64949,15.69089,15.73225,15.77356,15.93785
356,15.60805,15.64949,15.69089,15.73225,15.77356,15.81478,15.97862
357,15.64949,15.69089,15.73225,15.77356,15.81478,15.85592,16.01923
358,15.69089,15.73225,15.77356,15.81478,15.85592,15.89695,16.05966
359,15.73225,15.77356,15.81478,15.85592,15.89695,15.93785,16.0999
360,15.77356,15.81478,15.85592,15.89695,15.93785,15.97862,16.13993
361,15.81478,15.85592,15.89695,15.93785,15.97862,16.01923,16.17973
362,15.85592,15.89695,15.93785,15.97862,16.01923,16.05966,16.21929
363,15.89695,15.93785,15.97862,16.01923,16.05966,16.0999,16.25859
364,15.93785,15.97862,16.01923,16.05966,16.0999,16.13993,16.2976
365,15.97862,16.01923,16.05966,16.0999,16.13993,16.17973,16.33631
366,16.01923,16.05966,16.0999,16.13993,16.17973,16.21929,16.37471
367,16.05966,16.0999,16.13993,16.17973,16.21929,16.25859,16.41277
368,16.0999,16.13993,16.17973,16.21929,16.25859,16.2976,16.45047
369,16.13993,16.17973,16.21929,16.25859,16.2976,16.33631,16.4878
370,16.17973,16.21929,16.25859,16.2976,16.33631,16.37471,16.52473
371,16.21929,16.25859,16.2976,16.33631,16.37471,16.41277,16.56124
372,16.25859,16.2976,16.33631,16.37471,16.41277,16.45047,16.59733
373,16.2976,16.33631,16.37471,16.41277,16.45047,16.4878,16.63295
374,16.33631,16.37471,16.41277,16.45047,16.4878,16.52473,16.66811
375,16.37471,16.41277,16.45047,16.4878,16.52473,16.56124,16.70276
376,16.41277,16.45047,16.4878,16.52473,16.56124,16.59733,16.7369
